券商,交易日期,交易时间,证券代码,证券名称,买卖标志,成交价格,成交数量,成交金额,手续费,印花税,过户费,其他费,发生金额
湘财,2023-04-03,09:46:52.000000000,300214,日科化学,买入,6.7853,7400.0,50211.0,8.03,0.0,0.5,0.0,-50219.03
湘财,2023-04-03,09:42:35.000000000,300016,北陆药业,卖出,7.2,7500.0,54000.0,8.64,54.0,0.54,0.0,53937.36
湘财,2023-04-03,09:42:07.000000000,002479,富春环保,卖出,4.76,10700.0,50932.0,8.15,50.93,0.48,0.0,50872.92
湘财,2023-04-03,09:47:50.000000000,600597,光明乳业,买入,10.73,4800.0,51504.0,8.24,0.0,0.5,0.0,-51512.74
湘财,2023-04-03,09:43:45.000000000,600626,申达股份,卖出,3.64,13300.0,48412.0,7.75,48.42,0.48,0.0,48355.35
湘财,2023-05-29,09:33:37.000000000,002106,莱宝高科,卖出,8.44,6000.0,50640.0,8.1,50.59,0.53,0.0,50581.31
湘财,2023-05-29,09:31:35.000000000,600960,渤海汽车,卖出,3.5632,14500.0,51666.0,8.27,51.67,0.53,0.0,51605.53
湘财,2023-05-23,09:49:02.000000000,000712,锦龙股份,卖出,13.1,3600.0,47160.0,7.55,47.16,0.48,0.0,47105.29
湘财,2023-05-19,10:40:55.000000000,000655,金岭矿业,买入,6.59,7500.0,49425.0,7.91,0.0,0.49,0.0,-49432.91
湘财,2023-05-19,10:39:54.000000000,300641,正丹股份,买入,5.19,9600.0,49824.0,7.97,0.0,0.5,0.0,-49831.97
湘财,2023-05-19,10:17:25.000000000,300543,朗科智能,卖出,9.24,6000.0,55440.0,8.87,55.44,0.54,0.0,55375.69
湘财,2023-05-19,10:19:03.000000000,600810,神马股份,卖出,7.29,6400.0,46656.0,7.46,46.67,0.46,0.0,46601.41
湘财,2023-05-17,09:36:03.000000000,002440,闰土股份,卖出,7.0,6500.0,45500.0,7.28,45.5,0.46,0.0,45447.22
湘财,2023-05-17,09:34:16.000000000,600292,远达环保,卖出,5.97,8800.0,52536.0,8.41,52.54,0.53,0.0,52474.52
湘财,2023-05-10,11:23:16.000000000,300543,朗科智能,买入,8.3365,6000.0,50019.0,8.0,0.0,0.5,0.0,-50027.0
湘财,2023-05-10,11:20:40.000000000,000559,万向钱潮,卖出,5.1809,9900.0,51291.0,8.21,51.3,0.54,0.0,51231.49
湘财,2023-05-10,11:19:19.000000000,603577,汇金通,买入,9.6637,5100.0,49285.0,7.89,0.0,0.5,0.0,-49293.39
湘财,2023-05-09,09:33:55.000000000,002023,海特高新,卖出,8.97,5500.0,49335.0,7.89,49.34,0.5,0.0,49277.77
湘财,2023-05-09,09:32:34.000000000,002637,赞宇科技,卖出,10.5321,4200.0,44235.0,7.08,44.23,0.43,0.0,44183.69
湘财,2023-05-09,09:49:01.000000000,600960,渤海汽车,买入,3.43,14500.0,49735.0,7.96,0.0,0.49,0.0,-49743.45
湘财,2023-05-09,09:46:46.000000000,603967,中创物流,买入,9.88,5000.0,49400.0,7.9,0.0,0.5,0.0,-49408.4
湘财,2023-05-09,09:33:16.000000000,601166,兴业银行,卖出,17.75,3000.0,53250.0,8.52,53.25,0.53,0.0,53187.7
湘财,2023-06-19,10:18:46.000000000,603967,中创物流,卖出,9.13,5000.0,45650.0,7.3,45.65,0.46,0.0,45596.59
湘财,2023-06-12,13:22:32.000000000,300641,正丹股份,卖出,5.05,9600.0,48480.0,7.76,48.48,0.48,0.0,48423.76
湘财,2023-06-02,10:26:35.000000000,000655,金岭矿业,卖出,6.48,7500.0,48600.0,7.78,48.61,0.47,0.0,48543.61
湘财,2023-06-01,10:45:35.000000000,300214,日科化学,卖出,6.8,7400.0,50320.0,8.05,50.32,0.51,0.0,50261.63
湘财,2023-09-11,09:46:10.000000000,603577,汇金通,卖出,9.3024,5100.0,47442.0,6.9,23.72,0.49,0.0,47410.89
海通普通,2023-05-24,10:06:14.000000000,600626,申达股份,买入,3.37,14800.0,49876.0,4.99,0.0,0.49,0.0,-49881.48
海通普通,2023-05-24,09:59:17.000000000,600178,东安动力,买入,6.07,16400.0,99548.0,9.95,0.0,1.02,0.0,-99558.97
海通普通,2023-05-24,09:54:48.000000000,603002,宏昌电子,买入,5.06,9800.0,49588.0,4.96,0.0,0.5,0.0,-49593.46
海通普通,2023-05-23,10:01:57.000000000,300107,建新股份,买入,5.0,10000.0,50000.0,5.0,0.0,0.0,0.0,-50005.0
海通普通,2023-05-23,09:58:07.000000000,002224,三 力 士,买入,4.59,10800.0,49572.0,4.96,0.0,0.0,0.0,-49576.96
海通普通,2023-06-30,10:12:58.000000000,002136,安 纳 达,买入,11.32,4400.0,49808.0,4.98,0.0,0.0,0.0,-49812.98
海通普通,2023-06-30,10:11:42.000000000,002492,恒基达鑫,买入,5.74,8700.0,49938.0,4.99,0.0,0.0,0.0,-49942.99
海通普通,2023-06-30,10:02:56.000000000,002616,长青集团,卖出,5.18,10100.0,52318.0,5.23,52.4,0.0,0.0,52260.37
海通普通,2023-06-30,10:06:15.000000000,002702,海欣食品,卖出,5.19,9300.0,48267.0,4.83,48.28,0.0,0.0,48213.89
海通普通,2023-06-30,10:05:38.000000000,300242,佳云科技,卖出,3.4,13200.0,44880.0,4.49,44.88,0.0,0.0,44830.63
海通普通,2023-06-30,10:15:10.000000000,002842,翔鹭钨业,买入,8.48,5900.0,50032.0,5.0,0.0,0.0,0.0,-50037.0
海通普通,2023-06-30,10:04:27.000000000,002688,金河生物,卖出,4.72,11000.0,51920.0,5.19,51.89,0.0,0.0,51862.92
海通普通,2023-06-30,10:18:00.000000000,600051,宁波联合,买入,7.316,6800.0,49746.0,4.97,0.0,0.5,0.0,-49751.47
海通普通,2023-06-30,10:16:19.000000000,603386,骏亚科技,买入,11.189,4500.0,50349.0,5.03,0.0,0.49,0.0,-50354.52
海通普通,2023-06-30,10:13:45.000000000,600429,三元股份,买入,4.8,10400.0,49920.0,4.99,0.0,0.48,0.0,-49925.47
海通普通,2023-06-30,10:08:57.000000000,600513,联环药业,买入,9.66,5100.0,49266.0,4.93,0.0,0.5,0.0,-49271.43
海通普通,2023-06-30,10:03:45.000000000,605258,协和电子,卖出,25.88,1900.0,49172.0,4.92,49.19,0.51,0.0,49117.38
海通普通,2023-06-20,09:40:25.000000000,002688,金河生物,买入,4.53,11000.0,49830.0,4.98,0.0,0.0,0.0,-49834.98
海通普通,2023-06-20,09:37:17.000000000,603385,惠达卫浴,卖出,7.46,6500.0,48490.0,4.85,48.49,0.46,0.0,48436.2
海通普通,2023-06-20,09:35:49.000000000,603002,宏昌电子,卖出,4.95,9800.0,48510.0,4.85,48.53,0.47,0.0,48456.15
海通普通,2023-06-19,10:46:47.000000000,000599,青岛双星,买入,4.19,11900.0,49861.0,4.99,0.0,0.0,0.0,-49865.99
海通普通,2023-06-19,10:31:04.000000000,300107,建新股份,卖出,4.8,10000.0,48000.0,4.8,48.0,0.0,0.0,47947.2
海通普通,2023-06-19,10:34:32.000000000,002331,皖通科技,买入,7.23,6900.0,49887.0,4.99,0.0,0.0,0.0,-49891.99
海通普通,2023-06-19,10:40:20.000000000,002702,海欣食品,买入,5.337,9300.0,49636.0,4.96,0.0,0.0,0.0,-49640.96
海通普通,2023-06-19,10:43:44.000000000,605258,协和电子,买入,25.257,1900.0,47988.0,4.8,0.0,0.51,0.0,-47993.31
海通普通,2023-06-19,10:36:29.000000000,603385,惠达卫浴,买入,7.59,6500.0,49335.0,4.93,0.0,0.49,0.0,-49340.42
海通普通,2023-06-19,10:29:49.000000000,600843,上工申贝,卖出,5.62,9200.0,51704.0,5.17,51.69,0.53,0.0,51646.61
海通普通,2023-06-14,14:14:18.000000000,300242,佳云科技,买入,3.78,13200.0,49896.0,4.99,0.0,0.0,0.0,-49900.99
海通普通,2023-06-14,14:07:15.000000000,002224,三 力 士,卖出,4.83,10800.0,52164.0,5.22,52.16,0.0,0.0,52106.62
海通普通,2023-06-14,14:17:47.000000000,002616,长青集团,买入,4.93,10100.0,49793.0,4.98,0.0,0.0,0.0,-49797.98
海通普通,2023-06-14,14:05:25.000000000,600178,东安动力,卖出,6.36,16400.0,104304.0,10.43,104.3,1.05,0.0,104188.22
海通普通,2023-06-12,13:27:56.000000000,002661,克明食品,买入,11.29,4400.0,49676.0,4.97,0.0,0.0,0.0,-49680.97
海通普通,2023-06-12,13:35:20.000000000,600097,开创国际,买入,9.596,5200.0,49899.0,4.99,0.0,0.52,0.0,-49904.51
海通普通,2023-06-12,13:32:09.000000000,600843,上工申贝,买入,5.427,9200.0,49931.0,4.99,0.0,0.52,0.0,-49936.51
海通普通,2023-06-12,13:29:37.000000000,605196,华通线缆,买入,6.92,7200.0,49824.0,4.98,0.0,0.5,0.0,-49829.48
海通普通,2023-06-12,13:24:36.000000000,600626,申达股份,卖出,3.64,14800.0,53872.0,5.39,53.87,0.54,0.0,53812.2
海通普通,2023-07-24,09:49:52.000000000,300642,透景生命,买入,19.69,2500.0,49225.0,4.92,0.0,0.0,0.0,-49229.92
海通普通,2023-07-24,09:37:23.000000000,000599,青岛双星,卖出,4.46,11900.0,53074.0,5.31,53.07,0.0,0.0,53015.62
海通普通,2023-07-24,09:42:11.000000000,002225,濮耐股份,买入,3.8,13200.0,50160.0,5.02,0.0,0.0,0.0,-50165.02
海通普通,2023-07-24,09:52:23.000000000,000823,超声电子,买入,9.38,5400.0,50652.0,5.07,0.0,0.0,0.0,-50657.07
海通普通,2023-07-24,09:48:27.000000000,600735,新华锦,买入,6.07,8200.0,49774.0,4.98,0.0,0.5,0.0,-49779.48
海通普通,2023-07-24,09:38:22.000000000,603386,骏亚科技,卖出,11.32,4500.0,50940.0,5.09,50.91,0.49,0.0,50883.51
海通普通,2023-07-24,09:37:02.000000000,600429,三元股份,卖出,5.09,10400.0,52936.0,5.29,52.93,0.53,0.0,52877.25
海通普通,2023-07-18,09:33:54.000000000,002661,克明食品,卖出,10.24,4400.0,45056.0,4.51,45.05,0.0,0.0,45006.44
海通普通,2023-07-18,09:52:04.000000000,600287,江苏舜天,卖出,5.1,1045.0,5329.5,0.53,5.33,0.06,0.0,5323.58
海通普通,2023-07-18,09:50:02.000000000,600793,宜宾纸业,买入,12.28,4000.0,49120.0,4.91,0.0,0.49,0.0,-49125.4
海通普通,2023-07-18,09:42:29.000000000,600638,新黄浦,买入,5.367,9300.0,49916.0,4.99,0.0,0.55,0.0,-49921.54
海通普通,2023-07-18,09:32:57.000000000,600287,江苏舜天,卖出,5.13,8855.0,45426.15,4.54,45.43,0.45,0.0,45375.73
海通普通,2023-07-17,10:03:09.000000000,605196,华通线缆,卖出,7.81,7200.0,56232.0,5.62,56.23,0.56,0.0,56169.59
海通普通,2023-07-11,10:04:39.000000000,002842,翔鹭钨业,卖出,8.68,5900.0,51212.0,5.12,51.22,0.0,0.0,51155.66
海通普通,2023-07-11,10:03:52.000000000,002331,皖通科技,卖出,7.33,6900.0,50577.0,5.06,50.58,0.0,0.0,50521.36
海通普通,2023-07-11,10:13:04.000000000,600300,维维股份,买入,3.05,16400.0,50020.0,5.0,0.0,0.5,0.0,-50025.5
海通普通,2023-07-11,10:08:50.000000000,600287,江苏舜天,买入,5.06,9900.0,50094.0,5.01,0.0,0.5,0.0,-50099.51
海通两融,2023-07-26,09:33:56.000000000,600638,新黄浦,卖出,6.526,9300.0,60696.0,6.68,60.7,0.61,0.0,60628.01
海通两融,2023-07-27,09:30:42.000000000,002492,恒基达鑫,卖出,6.12,8700.0,53244.0,5.86,53.23,0.0,0.0,53184.91
海通两融,2023-07-27,09:32:52.000000000,002136,安 纳 达,卖出,11.881,4400.0,52277.0,5.75,52.28,0.0,0.0,52218.97
