"ts_code","sub_code","name","ipo_date","issue_date","amount","market_amount","price","pe","limit_amount","funds","ballot"
"688503.SH","787503","聚和材料",2022-11-30,2022-12-09,2800,963,110,50.32,0.7,30.8,0.04
"870866.BJ","889009","绿亨科技",2022-11-29,2022-12-09,4050,3240,8,25.5,192.35,3.24,7.69
"688420.SH","787420","美腾科技",2022-11-29,2022-12-09,2211,842,48.96,60.26,0.6,10.825,0.04
"688084.SH","787084","晶品特装",2022-11-29,2022-12-08,1900,724,60.98,80.64,0.5,11.586,0.04
"836414.BJ","889998","欧普泰",2022-11-29,2022-12-12,600,240,24.98,28.01,14.1,1.499,0.53
"688143.SH","787143","长盈通",2022-11-29,2022-12-12,2353,801,35.67,48.61,0.6,8.394,0.03
"836942.BJ","889698","恒立钻具",2022-11-28,2022-12-08,1400,1120,14.2,18.93,66.5,1.988,7.41
"601022.SH","780022","宁波远洋",2022-11-28,2022-12-08,13086,11778,8.22,22.97,3.9,10.757,0.08
"001333.SZ","001333","光华股份",2022-11-28,2022-12-08,3200,2880,27.76,22.2,1.25,8.883,0.03
"430300.BJ","889300","辰光医疗",2022-11-25,2022-12-07,1725,1200,6,24.94,71.25,1.035,0.38
"831087.BJ","889969","秋乐种业",2022-11-25,2022-12-07,3304,2643,6,29.38,156.94,1.982,2.02
"832110.BJ","889088","雷特科技",2022-11-24,2022-12-06,600,480,20,19.68,28.5,1.2,1.56
"833230.BJ","889996","欧康医药",2022-11-24,2022-12-09,1809,1488,12.8,24.22,87.98,2.315,3.03
"688489.SH","787489","三未信安",2022-11-23,2022-12-02,1914,658,78.89,83.82,0.45,15.1,0.04
"301391.SZ","301391","卡莱特",2022-11-22,2022-12-01,1700,753,96,63.58,0.4,16.32,0.02
"001256.SZ","001256","炜冈科技",2022-11-22,2022-12-05,3565,3209,13.64,22.99,1.4,4.863,0.03
"870199.BJ","889166","倍益康",2022-11-21,2022-12-01,1130,904,31.8,19.83,53.67,3.593,2.97
"831641.BJ","889198","格利尔",2022-11-21,2022-12-02,1208,840,9.6,23.82,49.87,1.159,0.43
"301290.SZ","301290","东星医疗",2022-11-21,2022-11-30,2504,1117,44.09,42.75,0.6,11.042,0.02
"301311.SZ","301311","昆船智能",2022-11-21,2022-11-30,6000,2910,13.88,36.51,1.7,8.328,0.03
"872374.BJ","889999","云里物里",2022-11-17,2022-11-29,1150,920,10,19,54.62,1.15,0.89
"688480.SH","787480","赛恩斯",2022-11-16,2022-11-25,2371,806,19.18,48.09,0.6,4.547,0.04
"835237.BJ","889816","力佳科技",2022-11-15,2022-11-25,1000,800,18.18,21.7,47.5,1.818,1.25
"832662.BJ","889988","方盛股份",2022-11-14,2022-11-28,2415,1680,6.5,16.67,99.75,1.57,0.25
"871634.BJ","889634","新威凌",2022-11-14,2022-11-24,1128,902,9.6,21.48,53.58,1.083,1.55
"301165.SZ","301165","锐捷网络",2022-11-10,2022-11-21,6818,2388,32.38,44.97,1.15,22.077,0.03
"301365.SZ","301365","矩阵股份",2022-11-10,2022-11-22,3000,1455,34.72,19.22,0.85,10.416,0.02
"301335.SZ","301335","天元宠物",2022-11-09,2022-11-18,2250,1091,49.98,46.72,0.6,11.245,0.02
"301377.SZ","301377","鼎泰高科",2022-11-09,2022-11-22,5000,1950,22.88,42.24,0.95,11.44,0.03
"603130.SH","732130","云中马",2022-11-09,2022-11-18,3500,3150,19.72,22.99,1.4,6.902,0.04
"870357.BJ","889357","雅葆轩",2022-11-08,2022-11-18,1360,1088,14,19.24,64.6,1.904,0.97
"688376.SH","787376","美埃科技",2022-11-08,2022-11-18,3360,1280,29.19,37.06,0.95,9.808,0.04
"301277.SZ","301277","新天地",2022-11-07,2022-11-16,3336,1618,27,31.81,0.95,9.007,0.02
"873339.BJ","889339","恒太照明",2022-11-07,2022-11-17,2220,1883,6.28,15.01,110.8,1.394,0.57
"688362.SH","787362","甬矽电子",2022-11-07,2022-11-16,6000,1440,18.54,25.83,0.95,11.124,0.04
"301361.SZ","301361","众智科技",2022-11-04,2022-11-16,2908,1411,26.44,46.94,0.8,7.69,0.02
"872808.BJ","889568","曙光数创",2022-11-03,2022-11-18,902,632,28.8,26.02,37.52,2.598,0.82
"301396.SZ","301396","宏景科技",2022-11-02,2022-11-11,2284,1108,40.13,45.12,0.65,9.168,0.02
"001338.SZ","001338","永顺泰",2022-11-02,2022-11-16,12543,11289,6.82,22.98,3.75,8.555,0.06
"301356.SZ","301356","天振股份",2022-11-01,2022-11-14,3000,1450,63,24.76,0.85,18.9,0.02
"688432.SH","787432","有研硅",2022-11-01,2022-11-10,18714,4086,9.91,91.53,2.6,18.546,0.05
"833914.BJ","889111","远航精密",2022-10-31,2022-11-11,2500,2000,16.2,19.99,118.75,4.05,3.34
"301359.SZ","301359","东南电子",2022-10-31,2022-11-09,2146,1041,20.84,32.54,0.6,4.472,0.02
"832876.BJ","889288","慧为智能",2022-10-27,2022-11-09,1630,1316,8,19.33,77.74,1.304,0.63
"688419.SH","787419","耐科装备",2022-10-27,2022-11-07,2050,779,37.85,68.87,0.55,7.759,0.04
"603280.SH","732280","南方路机",2022-10-27,2022-11-08,2710,2439,23.75,18.37,1,6.437,0.04
"301267.SZ","301267","华厦眼科",2022-10-24,2022-11-07,6000,2340,50.88,59.86,1.1,30.528,0.03
"301388.SZ","301388","欣灵电气",2022-10-24,2022-11-09,2561,1242,25.88,37.86,0.7,6.628,0.02
"301230.SZ","301230","泓博医药",2022-10-19,2022-11-01,1925,837,40,43.78,0.45,7.7,0.02
"301367.SZ","301367","怡和嘉业",2022-10-19,2022-11-01,1600,776,119.88,56.75,0.45,19.181,0.02
"001299.SZ","001299","美能能源",2022-10-18,2022-10-31,4690,4221,10.69,20.42,1.85,5.014,0.03
"001298.SZ","001298","好上好",2022-10-18,2022-10-31,2400,2160,35.32,18.26,0.95,8.477,0.03
"301379.SZ","301379","天山电子",2022-10-17,2022-11-01,2534,1229,31.51,37.53,0.7,7.985,0.02
"688372.SH","787372","伟测科技",2022-10-17,2022-10-26,2180,744,61.49,42.03,0.55,13.406,0.04
"688426.SH","787426","康为世纪",2022-10-14,2022-10-25,2329,803,48.98,40.8,0.55,11.408,0.04
"301389.SZ","301389","隆扬电子",2022-10-14,2022-10-31,7088,3437,22.5,33.63,2,15.947,0.03
"688152.SH","787152","麒麟信安",2022-10-14,2022-10-28,1321,455,68.89,41.78,0.3,9.101,0.04
"001322.SZ","001322","箭牌家居",2022-10-14,2022-10-26,9661,8695,12.68,22.99,2.85,12.25,0.05
"688291.SH","787291","金橙子",2022-10-13,2022-10-26,2567,975,26.77,53.18,0.7,6.871,0.04
"871753.BJ","889778","天纺标",2022-10-11,2022-10-31,1300,1040,10,23.84,61.75,1.3,0.74
"301223.SZ","301223","中荣股份",2022-10-11,2022-10-26,4830,2343,26.28,25.16,1.35,12.693,0.03
"873527.BJ","889090","夜光明",2022-10-10,2022-10-27,1349,1079,10.99,21.56,64.09,1.483,1.5
"603151.SH","732151","邦基科技",2022-10-10,2022-10-19,4200,3780,17.95,22.98,1.6,7.539,0.04
"688244.SH","787244","永信至诚",2022-10-10,2022-10-19,1171,398,49.19,63,0.25,5.759,0.05
"001300.SZ","001300","三柏硕",2022-10-10,2022-10-19,6094,5485,11.17,22.98,2.4,6.807,0.04
"301380.SZ","301380","挖金客",2022-09-30,2022-10-25,1700,1700,34.78,40.22,1.7,5.913,0.02
"688031.SH","787031","星环科技",2022-09-30,2022-10-18,3021,795,47.34,0,0.5,14.302,0.05
"688061.SH","787061","灿瑞科技",2022-09-30,2022-10-18,1928,703,112.69,77.97,0.5,21.723,0.05
"301273.SZ","301273","瑞晨环保",2022-09-30,2022-10-25,1791,869,37.89,36.22,0.5,6.786,0.02
"301299.SZ","301299","卓创资讯",2022-09-28,2022-10-19,1500,1500,29.99,38.78,1.5,4.498,0.02
"835892.BJ","889089","中科美菱",2022-09-27,2022-10-18,2418,1935,16,24.79,114.86,3.869,6.79
"301316.SZ","301316","慧博云通",2022-09-27,2022-10-13,4001,1413,7.6,50.5,0.65,3.041,0.03
"837046.BJ","889046","亿能电力",2022-09-26,2022-10-13,1725,1200,5,13.55,71.25,0.863,0.24
"430476.BJ","889100","海能技术",2022-09-26,2022-10-14,1000,800,10.88,24.98,47.5,1.088,1.02
"688459.SH","787459","哈铁科技",2022-09-26,2022-10-12,12000,2553,13.58,59.71,1.65,16.296,0.05
"301363.SZ","301363","美好医疗",2022-09-26,2022-10-12,4427,1558,30.66,41.18,0.75,13.573,0.03
"603052.SH","732052","可川科技",2022-09-23,2022-10-11,1720,1720,34.68,22.99,1.7,5.965,0.02
"688073.SH","787073","毕得医药",2022-09-23,2022-10-11,1623,553,88,63.56,0.4,14.282,0.04
"430139.BJ","889139","华岭股份",2022-09-23,2022-10-28,4000,1600,13.5,54.36,94,5.4,1.9
"603163.SH","732163","圣晖集成",2022-09-23,2022-10-13,2000,2000,27.25,17.64,2,5.45,0.02
"688409.SH","787409","富创精密",2022-09-22,2022-10-10,5226,1722,69.99,195.49,1.25,36.579,0.05
"001269.SZ","001269","欧晶科技",2022-09-21,2022-09-30,3436,3092,15.65,17.03,1.35,5.377,0.03
"430685.BJ","889977","新芝生物",2022-09-20,2022-10-10,2493,1775,15,31.25,105.4,3.739,4.97
"688137.SH","787137","近岸蛋白",2022-09-20,2022-09-29,1754,670,106.19,50.06,0.5,18.63,0.04
"301313.SZ","301313","凡拓数创",2022-09-20,2022-09-30,2558,1241,25.25,39.61,0.7,6.46,0.02
"301319.SZ","301319","唯特偶",2022-09-20,2022-09-29,1466,711,47.75,36.33,0.4,7,0.02
"001255.SZ","001255","博菲电气",2022-09-20,2022-09-30,2000,2000,19.77,22.99,2,3.954,0.01
"688275.SH","787275","万润新能",2022-09-19,2022-09-29,2130,742,299.88,75.25,0.5,63.886,0.04
"301176.SZ","301176","逸豪新材",2022-09-19,2022-09-28,4227,1891,23.88,26.26,1.05,10.093,0.02
"838402.BJ","889555","硅烷科技",2022-09-19,2022-09-28,8997,1643,5.66,27.79,113.44,5.092,0.34
"301285.SZ","301285","鸿日达",2022-09-19,2022-09-28,5167,2506,14.6,52.86,1.45,7.544,0.02
"838971.BJ","889188","天马新材",2022-09-16,2022-09-27,1441,1153,21.38,24.99,68.43,3.08,1.98
"688252.SH","787252","天德钰",2022-09-16,2022-09-27,4056,1050,21.68,27.14,0.65,8.792,0.04
"688392.SH","787392","骄成超声",2022-09-15,2022-09-27,2050,705,71.18,94.98,0.5,14.592,0.04
"688387.SH","787387","信科移动",2022-09-15,2022-09-26,68375,14408,6.05,0,19.8,41.367,0.12
"301366.SZ","301366","一博科技",2022-09-15,2022-09-26,2083,919,65.35,38.2,0.5,13.615,0.02
"603057.SH","732057","紫燕食品",2022-09-15,2022-09-26,4200,3780,15.15,22.99,1.2,6.363,0.04
"688132.SH","787132","邦彦技术",2022-09-14,2022-09-23,3806,1319,28.88,76.54,0.95,10.991,0.04
"301227.SZ","301227","森鹰窗业",2022-09-14,2022-09-26,2370,1048,38.25,34.26,0.6,9.065,0.02
"835207.BJ","889898","众诚科技",2022-09-13,2022-09-23,1840,1280,7,20.5,76,1.288,0.6
"873122.BJ","889991","中纺标",2022-09-13,2022-09-27,1064,740,8,23.84,43.93,0.851,0.59
"301369.SZ","301369","联动科技",2022-09-09,2022-09-22,1160,1160,96.58,35.76,1.15,11.203,0.01
"688428.SH","787428","诺诚健华",2022-09-09,2022-09-21,26465,7187,11.03,0,4.75,29.191,0.06
"688448.SH","787448","磁谷科技",2022-09-08,2022-09-21,1782,677,32.9,50.65,0.5,5.861,0.03
"001332.SZ","001332","锡装股份",2022-09-07,2022-09-20,2000,2000,59.9,21.28,2,11.98,0.01
"301326.SZ","301326","捷邦科技",2022-09-07,2022-09-21,1810,799,51.72,43.7,0.45,9.361,0.02
"001238.SZ","001238","浙江正特",2022-09-07,2022-09-19,2750,2475,16.05,22.98,1.1,4.414,0.02
"688035.SH","787035","德邦科技",2022-09-07,2022-09-19,3556,1215,46.12,103.48,0.9,16.4,0.03
"688184.SH","787184","帕瓦股份",2022-09-07,2022-09-19,3359,1091,51.88,93.68,0.8,17.429,0.03
"301331.SZ","301331","恩威医药",2022-09-06,2022-09-21,1754,1754,29.8,24.72,1.75,5.227,0.01
"301327.SZ","301327","华宝新能",2022-09-06,2022-09-19,2454,1190,237.5,84.6,0.65,58.286,0.02
"301309.SZ","301309","万得凯",2022-09-06,2022-09-19,2500,1213,39,38.06,0.7,9.75,0.02
"688455.SH","787455","科捷智能",2022-09-05,2022-09-15,4521,1556,21.88,57.41,1.15,9.892,0.04
"301161.SZ","301161","唯万密封",2022-09-02,2022-09-14,3000,1325,18.66,39.92,0.75,5.598,0.02
"688391.SH","787391","钜泉科技",2022-09-01,2022-09-13,1440,495,115,66.84,0.35,16.56,0.04
"301205.SZ","301205","联特科技",2022-08-31,2022-09-13,1802,1802,40.37,28.93,1.8,7.275,0.01
"301339.SZ","301339","通行宝",2022-08-31,2022-09-09,6000,2340,18.78,46.68,1.1,11.268,0.03
"688114.SH","787114","华大智造",2022-08-31,2022-09-09,4132,998,87.18,73.05,0.65,36.022,0.04
"603182.SH","732182","嘉华股份",2022-08-31,2022-09-09,4114,3703,10.55,22.98,1.6,4.34,0.03
"301276.SZ","301276","嘉曼服饰",2022-08-30,2022-09-09,2700,1310,40.66,25.15,0.75,10.978,0.02
"001331.SZ","001331","胜通能源",2022-08-30,2022-09-08,3000,2700,26.78,19.93,1.2,8.034,0.02
"301231.SZ","301231","荣信文化",2022-08-29,2022-09-08,2110,1023,25.49,59.29,0.6,5.378,0.02
"301328.SZ","301328","维峰电子",2022-08-26,2022-09-08,1832,816,78.8,60.38,0.45,14.436,0.02
"301349.SZ","301349","信德新材",2022-08-26,2022-09-09,1700,825,138.88,78.39,0.45,23.61,0.02
"001283.SZ","001283","豪鹏科技",2022-08-24,2022-09-05,2000,2000,52.19,22.99,2,10.438,0.01
"836270.BJ","889966","天铭科技",2022-08-24,2022-09-02,1000,800,18.96,24.24,47.5,1.896,1.41
"688293.SH","787293","奥浦迈",2022-08-24,2022-09-02,2050,700,80.2,132.72,0.5,16.437,0.03
"301283.SZ","301283","聚胶股份",2022-08-24,2022-09-02,2000,970,52.69,80.65,0.55,10.538,0.02
"301296.SZ","301296","新巨丰",2022-08-24,2022-09-02,6300,2457,18.19,51.87,1.15,11.46,0.03
"839790.BJ","889790","联迪信息",2022-08-23,2022-09-02,1566,1279,8,24.26,75.67,1.253,1.12
"831152.BJ","889066","昆工科技",2022-08-22,2022-09-01,3009,2093,5.8,22.15,124.29,1.745,0.42
"603237.SH","732237","五芳斋",2022-08-22,2022-08-31,2519,2267,34.32,22.99,1,8.644,0.03
"836395.BJ","889868","朗鸿科技",2022-08-22,2022-09-01,710,568,17,16.31,33.72,1.207,0.73
"688351.SH","787351","微电生理",2022-08-19,2022-08-31,7060,1859,16.51,0,1.2,11.656,0.04
"301115.SZ","301115","建科股份",2022-08-19,2022-08-31,4500,2043,42.05,49.22,1.15,18.922,0.02
"688416.SH","787416","恒烁股份",2022-08-18,2022-08-29,2066,715,65.11,40.7,0.5,13.452,0.03
"001259.SZ","001259","利仁科技",2022-08-17,2022-08-31,1848,1848,19.75,22.99,1.8,3.651,0.01
"688439.SH","787439","振华风光",2022-08-17,2022-08-26,5000,1723,66.99,75.12,1.25,33.495,0.03
"301270.SZ","301270","汉仪股份",2022-08-17,2022-08-31,2500,1001,25.68,44.32,0.6,6.42,0.02
"301152.SZ","301152","天力锂能",2022-08-17,2022-08-29,3050,1336,57,64.18,0.75,17.385,0.02
"688247.SH","787247","宣泰医药",2022-08-16,2022-08-25,4534,1292,9.37,48.56,0.85,4.248,0.03
"301282.SZ","301282","金禄电子",2022-08-16,2022-08-26,3779,1833,30.38,49.08,1.05,11.481,0.02
"301209.SZ","301209","联合化学",2022-08-15,2022-08-25,2000,2000,14.95,18.93,2,2.99,0.01
"688370.SH","787370","丛麟科技",2022-08-15,2022-08-25,2661,926,59.76,36.44,0.65,15.9,0.03
"688381.SH","787381","帝奥微",2022-08-11,2022-08-23,6305,2204,41.68,67.1,1.6,26.279,0.04
"688271.SH","787271","联影医疗",2022-08-10,2022-08-22,10000,1500,109.88,77.69,1,109.88,0.04
"001330.SZ","001330","博纳影业",2022-08-09,2022-08-18,27490,24741,5.03,22.99,8.2,13.828,0.09
"001231.SZ","001231","农心科技",2022-08-09,2022-08-19,2500,2250,17.77,22.99,1,4.442,0.02
"603255.SH","732255","鼎际得",2022-08-09,2022-08-18,3337,3003,21.88,22.99,1.3,7.301,0.03
"831834.BJ","889099","三维股份",2022-08-08,2022-08-22,3000,2458,5.2,16.21,145.39,1.56,0.63
"688403.SH","787403","汇成股份",2022-08-08,2022-08-18,16697,3560,8.88,78.92,2.3,14.827,0.04
"688401.SH","787401","路维光电",2022-08-08,2022-08-17,3333,1148,25.08,70.31,0.85,8.36,0.03
"301330.SZ","301330","熵基科技",2022-08-08,2022-08-17,3712,1649,43.32,43.44,0.9,16.082,0.02
"301171.SZ","301171","易点天下",2022-08-08,2022-08-19,7550,2945,18.18,34.23,1.4,13.726,0.03
"301300.SZ","301300","远翔新材",2022-08-05,2022-08-19,1605,778,36.15,32.06,0.45,5.802,0.02
"688203.SH","787203","海正生材",2022-08-05,2022-08-16,5067,1927,16.68,100.18,1.4,8.452,0.04
"688292.SH","787292","浩瀚深度",2022-08-05,2022-08-18,3929,1363,16.56,48.67,1,6.506,0.03
"001339.SZ","001339","智微智能",2022-08-04,2022-08-15,6175,5558,16.86,22.99,2.45,10.411,0.03
"301338.SZ","301338","凯格精机",2022-08-04,2022-08-16,1900,836,46.33,34.67,0.45,8.803,0.02
"688041.SH","787041","海光信息",2022-08-03,2022-08-12,30000,6318,36,315.18,4.2,108,0.06
"001222.SZ","001222","源飞宠物",2022-08-03,2022-08-18,3410,3069,13.71,14.73,1.35,4.675,0.03
"301336.SZ","301336","趣睡科技",2022-08-02,2022-08-12,1000,1000,37.53,26.5,1,3.753,0.01
"688273.SH","787273","麦澜德",2022-08-02,2022-08-11,2500,872,40.29,38.51,0.6,10.072,0.04
"301318.SZ","301318","维海德",2022-08-01,2022-08-10,1736,842,64.68,32.38,0.45,11.228,0.02
"301132.SZ","301132","满坤科技",2022-08-01,2022-08-10,3687,1788,26.8,45.71,1.05,9.881,0.02
"688205.SH","787205","德科立",2022-07-29,2022-08-09,2432,927,48.51,44.02,0.65,11.798,0.04
"301121.SZ","301121","紫建电子",2022-07-28,2022-08-08,1770,859,61.07,45.3,0.5,10.81,0.02
"001229.SZ","001229","魅视科技",2022-07-28,2022-08-08,2500,2250,21.71,22.99,1,5.428,0.02
"001236.SZ","001236","弘业期货",2022-07-27,2022-08-05,10078,9070,1.86,23.9,3,1.874,0.05
"688373.SH","787373","盟科药业",2022-07-27,2022-08-05,13000,3718,8.16,0,2.45,10.608,0.04
"301197.SZ","301197","工大科雅",2022-07-27,2022-08-08,3014,1462,25.5,39.64,0.85,7.684,0.02
"688380.SH","787380","中微半导",2022-07-27,2022-08-05,6300,1639,30.86,22.95,1.05,19.442,0.04
"301095.SZ","301095","广立微",2022-07-26,2022-08-05,5000,2041,58,230.39,1.2,29,0.02
"301278.SZ","301278","快可电子",2022-07-26,2022-08-04,1600,1600,34.84,36.07,1.6,5.574,0.01
"835985.BJ","889985","海泰新能",2022-07-26,2022-08-08,6190,3768,9.05,25.24,228.77,5.602,1.28
"301308.SZ","301308","江波龙",2022-07-25,2022-08-05,4200,1344,55.67,24.76,0.65,23.381,0.02
"688371.SH","787371","菲沃泰",2022-07-22,2022-08-02,8387,2922,18.54,174.61,2.1,15.549,0.04
"301333.SZ","301333","诺思格",2022-07-22,2022-08-02,1500,1500,78.88,50.13,1.5,11.832,0.01
"301195.SZ","301195","北路智控",2022-07-21,2022-08-01,2192,986,71.17,44.72,0.55,15.601,0.02
"688130.SH","787130","晶华微",2022-07-20,2022-07-29,1664,604,62.98,61.01,0.4,10.48,0.04
"603201.SH","732201","常润股份",2022-07-20,2022-07-29,1987,1987,30.56,18.71,1.9,6.073,0.02
"301269.SZ","301269","华大九天",2022-07-19,2022-07-29,10859,3084,32.69,333.39,1.5,35.498,0.03
"688253.SH","787253","英诺特",2022-07-19,2022-07-28,3402,1166,26.06,32.65,0.85,8.866,0.03
"301306.SZ","301306","西测测试",2022-07-15,2022-07-26,2110,1023,43.23,59.88,0.6,9.122,0.02
"688382.SH","787382","益方生物",2022-07-14,2022-07-25,11500,2661,18.12,0,1.6,20.838,0.05
"603211.SH","732211","晋拓股份",2022-07-14,2022-07-25,6795,6116,6.55,22.99,2.7,4.451,0.04
"001336.SZ","001336","楚环科技",2022-07-13,2022-07-25,2009,1808,22.96,22.99,0.8,4.613,0.02
"001258.SZ","001258","立新能源",2022-07-13,2022-07-27,23333,21000,3.38,22.4,7,7.887,0.08
"688231.SH","787231","隆达股份",2022-07-11,2022-07-22,6171,2010,39.08,343.5,1.45,24.118,0.04
"688375.SH","787375","国博电子",2022-07-11,2022-07-22,4001,961,70.88,80.78,0.6,28.359,0.04
"603170.SH","732170","宝立食品",2022-07-06,2022-07-15,4001,3601,10.05,22.98,1.2,4.021,0.04
"688332.SH","787332","中科蓝讯",2022-07-06,2022-07-15,3000,1146,91.66,56.41,0.85,27.498,0.04
"001230.SZ","001230","劲旅环境",2022-07-05,2022-07-15,2785,2506,34.51,22.99,1.1,9.61,0.03
"688353.SH","787353","华盛锂电",2022-07-04,2022-07-13,2800,979,98.35,25.96,0.7,27.538,0.03
"836871.BJ","889033","派特尔",2022-07-04,2022-07-22,2041,1422,5.6,14.14,84.43,1.143,0.24
"603235.SH","732235","天新药业",2022-07-01,2022-07-12,4378,3940,36.88,22.99,1.3,16.146,0.04
"688053.SH","787053","思科瑞",2022-06-29,2022-07-08,2500,866,55.53,60.64,0.6,13.883,0.03
"839725.BJ","889955","惠丰钻石",2022-06-29,2022-07-18,1265,880,28.18,26.98,52.25,3.565,1.59
"301312.SZ","301312","智立方",2022-06-29,2022-07-11,1024,1024,72.33,26.5,1,7.403,0.01
"301175.SZ","301175","中科环保",2022-06-28,2022-07-08,36722,12700,3.82,33.22,5.85,14.028,0.06
"688322.SH","787322","奥比中光",2022-06-28,2022-07-07,4000,966,30.99,0,0.6,12.396,0.04
"301139.SZ","301139","元道通信",2022-06-28,2022-07-08,3040,1474,38.46,47.79,0.85,11.692,0.02
"834639.BJ","889639","晨光电缆",2022-06-28,2022-07-12,4667,3733,4.3,14.34,221.66,2.007,1.05
"834062.BJ","889878","科润智控",2022-06-28,2022-07-13,3772,2834,4.3,21.65,168.2,1.622,0.87
"301208.SZ","301208","中亦科技",2022-06-27,2022-07-07,1667,1667,46.06,26.53,1.65,7.677,0.01
"301234.SZ","301234","五洲医疗",2022-06-24,2022-07-05,1700,1700,26.23,28,1.7,4.459,0.01
"688400.SH","787400","凌云光",2022-06-23,2022-07-06,10350,2179,21.93,66.37,2.75,22.698,0.04
"837821.BJ","889821","则成电子",2022-06-23,2022-07-06,1619,1200,10.8,24.6,71.25,1.749,1.08
"301233.SZ","301233","盛帮股份",2022-06-22,2022-07-06,1287,624,41.52,37.99,0.35,5.344,0.02
"688237.SH","787237","超卓航科",2022-06-22,2022-07-01,2240,726,41.27,61.46,0.5,9.245,0.03
"838670.BJ","889131","恒进感应",2022-06-22,2022-07-05,1700,1360,20,25.22,80.75,3.4,1.79
"001309.SZ","001309","德明利",2022-06-22,2022-07-01,2000,2000,26.54,22.99,2,5.308,0.01
"601089.SH","780089","福元医药",2022-06-21,2022-06-30,12000,10800,14.62,22.98,3.6,17.544,0.07
"001268.SZ","001268","联合精密",2022-06-21,2022-06-30,2698,2429,19.25,22.99,1.05,5.194,0.02
"301239.SZ","301239","普瑞眼科",2022-06-20,2022-07-05,3740,1814,33.65,58.77,1.05,12.587,0.02
"301112.SZ","301112","信邦智能",2022-06-16,2022-06-29,2757,1204,27.53,40.99,0.7,7.589,0.02
"688047.SH","787047","龙芯中科",2022-06-15,2022-06-24,4100,984,60.06,141.68,0.65,24.625,0.04
"688297.SH","787297","中无人机",2022-06-15,2022-06-29,13500,3718,32.35,75.62,2.4,43.672,0.05
"001316.SZ","001316","润贝航科",2022-06-15,2022-06-24,2000,2000,29.2,22.99,2,5.84,0.01
"301302.SZ","301302","华如科技",2022-06-14,2022-06-23,2637,1279,52.03,51.64,0.75,13.72,0.02
"001323.SZ","001323","慕思股份",2022-06-14,2022-06-23,4001,3601,38.93,22.99,1.2,15.576,0.04
"301220.SZ","301220","亚香股份",2022-06-13,2022-06-22,2020,897,35.98,32.71,0.5,7.268,0.02
"688349.SH","787349","三一重能",2022-06-13,2022-06-22,18829,4022,29.8,22.93,2.6,56.109,0.05
"833943.BJ","889669","优机股份",2022-06-13,2022-06-24,1295,920,7,16.85,54.62,0.907,0.15
"301289.SZ","301289","国缆检测",2022-06-13,2022-06-22,1500,1500,33.55,28.5,1.5,5.032,0.01
"001226.SZ","001226","拓山重工",2022-06-13,2022-06-22,1867,1867,24.66,22.99,1.85,4.603,0.01
"301238.SZ","301238","瑞泰新材",2022-06-08,2022-06-17,18333,5658,19.18,23.71,2.55,35.163,0.04
"301156.SZ","301156","美农生物",2022-06-08,2022-06-17,2000,2000,23.48,29.23,2,4.696,0.02
"831278.BJ","889278","泰德股份",2022-06-06,2022-06-20,2500,2000,4.06,18.89,118.75,1.015,0.16
"300646.SZ","300646","侨源气体",2022-06-01,-0001-12-31,4001,0,0,0,0.65,0,0
"301286.SZ","301286","侨源股份",2022-06-01,2022-06-14,4001,1400,16.91,39,0.65,6.766,0.03
"430564.BJ","889369","天润科技",2022-05-30,2022-06-17,1836,1469,8.05,19.05,87.21,1.478,0.43
"832491.BJ","889968","奥迪威",2022-05-30,2022-06-14,3130,2504,11,28.53,148.69,3.443,1.28
"001235.SZ","001235","里得电科",2022-05-30,-0001-12-31,2121,848,25.48,21.41,0.8,5.404,0
"688348.SH","787348","昱能科技",2022-05-27,2022-06-08,2000,702,163,135.2,0.5,32.6,0.05
"301266.SZ","301266","宇邦新材",2022-05-26,2022-06-08,2600,1261,26.86,38.35,0.7,6.984,0.02
"688120.SH","787120","华海清科",2022-05-26,2022-06-08,2667,931,136.66,127.9,0.65,36.443,0.04
"301298.SZ","301298","东利机械",2022-05-25,2022-06-06,3680,1785,12.68,35.42,1,4.666,0.02
"301125.SZ","301125","腾亚精工",2022-05-25,2022-06-08,1810,878,22.49,29.91,0.5,4.071,0.02
"688251.SH","787251","井松智能",2022-05-25,2022-06-06,1486,565,35.62,37.7,0.4,5.292,0.03
"688119.SH","787119","中钢洛耐",2022-05-25,2022-06-06,22500,4725,5.06,32.82,3.15,11.385,0.05
"001270.SZ","001270","铖昌科技",2022-05-24,2022-06-06,2795,2516,21.68,22.99,1.1,6.06,0.03
"870299.BJ","889668","灿能电力",2022-05-24,2022-06-10,2025,1620,5.8,20.72,96.18,1.174,0.29
"873223.BJ","889223","荣亿精密",2022-05-23,2022-06-09,4359,3032,3.21,24.79,180.02,1.399,0.24
"301160.SZ","301160","翔楼新材",2022-05-23,2022-06-06,1867,905,31.56,20.03,0.5,5.891,0.02
"838171.BJ","889866","邦德股份",2022-05-19,2022-06-02,2025,1620,7,24.14,96.18,1.417,0.39
"688327.SH","787327","云从科技",2022-05-18,2022-05-27,11243,2361,15.37,0,1.55,17.28,0.05
"688045.SH","787045","必易微",2022-05-17,2022-05-26,1726,593,55.15,16.24,0.4,9.52,0.04
"301191.SZ","301191","菲菱科思",2022-05-17,2022-05-26,1334,1334,72,24.07,1.3,9.605,0.02
"301183.SZ","301183","东田微",2022-05-13,2022-05-24,2000,2000,22.92,30.06,2,4.584,0.02
