"ts_code","sub_code","name","ipo_date","issue_date","amount","market_amount","price","pe","limit_amount","funds","ballot"
"301631.SZ","301631","壹连科技",2024-11-08,2024-11-22,1633,667,72.99,19.06,0.35,11.919,0.02
"688750.SH","787750","金天钛业",2024-11-08,2024-11-20,9250,2498,7.16,24.72,1.65,6.623,0.04
"920060.BJ","920060","万源通",2024-11-08,2024-11-19,3565,2480,11.16,15.4,147.25,3.979,0.09
"920111.BJ","920111","聚星科技",2024-10-29,2024-11-11,4465,3106,6.25,13.23,184.44,2.791,0.07
"301633.SZ","301633","港迪技术",2024-10-25,2024-11-07,1392,1392,37.94,26.71,1.35,5.281,0.01
"603205.SH","732205","健尔康",2024-10-25,2024-11-07,3000,2400,14.65,14.59,1.2,4.395,0.03
"920066.BJ","920066","科拜尔",2024-10-22,2024-10-31,1244,865,13.31,14.45,51.38,1.656,0.05
"301628.SZ","301628","强达电路",2024-10-21,2024-10-31,1884,1884,28.18,24.98,1.85,5.31,0.02
"920088.BJ","920088","科力股份",2024-10-18,2024-10-29,2415,1680,7.32,14.79,99.75,1.768,0.06
"688726.SH","787726","拉普拉斯",2024-10-18,2024-10-29,4053,1052,17.58,19.87,0.65,7.126,0.04
"301613.SZ","301613","新铝时代",2024-10-16,2024-10-25,2397,1163,27.7,14.57,0.65,6.641,0.02
"301626.SZ","301626","苏州天脉",2024-10-15,2024-10-24,2892,1258,21.23,16.31,0.7,6.14,0.02
"301592.SZ","301592","六九一二",2024-10-11,2024-10-24,1750,1750,29.49,22.66,1.75,5.161,0.02
"301556.SZ","301556","托普云农",2024-10-08,2024-10-17,2132,931,14.5,11.73,0.5,3.091,0.02
"301522.SZ","301522","上大股份",2024-09-30,2024-10-16,9297,3719,6.88,20.02,2.2,6.396,0.03
"001279.SZ","001279","强邦新材",2024-09-25,2024-10-11,4000,2945,9.68,17.54,1.4,3.872,0.04
"301618.SZ","301618","长联科技",2024-09-19,2024-09-30,1611,1611,21.12,17,1.6,3.402,0.02
"920019.BJ","920019","铜冠矿建",2024-09-18,2024-10-11,5827,3547,4.33,15.48,215.33,2.523,0.11
"688615.SH","787615","合合信息",2024-09-13,2024-09-26,2500,800,55.18,18.55,0.6,13.795,0.05
"301551.SZ","301551","无线传媒",2024-09-13,2024-09-26,4001,1398,9.4,13.95,0.6,3.761,0.04
"920099.BJ","920099","瑞华技术",2024-09-10,2024-09-25,1840,1280,19,13.54,76,3.496,0.5
"603091.SH","732091","众鑫股份",2024-09-06,2024-09-20,2556,1636,26.5,11.86,0.8,6.773,0.04
"920016.BJ","920016","中草香料",2024-09-03,2024-09-13,1719,1196,7.5,15.37,71.01,1.289,0.07
"301600.SZ","301600","慧翰股份",2024-09-02,2024-09-11,1755,1755,39.84,22.57,1.75,6.992,0.02
"301607.SZ","301607","富特科技",2024-08-26,2024-09-04,2775,1138,14,16.82,0.65,3.886,0.03
"001277.SZ","001277","速达股份",2024-08-23,2024-09-03,1900,1900,32,15.05,1.9,6.08,0.02
"688710.SH","787710","益诺思",2024-08-23,2024-09-03,3524,1128,19.06,15.4,0.8,6.718,0.05
"920008.BJ","920008","成电光信",2024-08-20,2024-08-29,1058,736,10,15.15,43.7,1.058,0.06
"301586.SZ","301586","佳力奇",2024-08-19,2024-08-28,2074,1006,18.09,19.15,0.55,3.753,0.03
"603207.SH","732207","小方制药",2024-08-15,2024-08-26,4000,3200,12.47,10.02,1.6,4.988,0.05
"920118.BJ","920118","太湖远大",2024-08-13,2024-08-22,730,584,17,11.8,34.67,1.241,0.09
"301571.SZ","301571","国科天成",2024-08-12,2024-08-21,4486,1794,11.14,15.53,1.05,4.997,0.03
"603310.SH","732310","巍华新材",2024-08-05,2024-08-14,8634,5526,17.39,12.26,2.75,15.015,0.06
"301611.SZ","301611","珂玛科技",2024-08-05,2024-08-16,7500,2400,8,44.9,1.2,6,0.04
"688721.SH","787721","龙图光罩",2024-07-26,2024-08-06,3338,1068,18.5,30.2,0.8,6.174,0.04
"301608.SZ","301608","博实结",2024-07-23,2024-08-01,2225,890,44.5,23.98,0.5,9.902,0.03
"603391.SH","732391","力聚热能",2024-07-22,2024-07-31,2275,1820,40,15.56,0.9,9.1,0.04
"301606.SZ","301606","绿联科技",2024-07-15,2024-07-26,4150,1328,21.21,24,0.65,8.802,0.03
"301552.SZ","301552","科力装备",2024-07-11,2024-07-22,1700,698,30,15.08,0.4,5.1,0.02
"301603.SZ","301603","乔锋智能",2024-07-01,2024-07-10,3019,1208,26.5,19.96,0.7,8,0.03
"603285.SH","732285","键邦股份",2024-06-26,2024-07-05,4000,3200,18.65,16.43,1.6,7.46,0.05
"603350.SH","732350","安乃达",2024-06-24,2024-07-03,2900,2320,20.56,18.02,1.15,5.962,0.04
"603381.SH","732381","永臻股份",2024-06-17,2024-06-26,5931,4271,23.35,15.06,2.1,13.85,0.05
"301580.SZ","301580","爱迪特",2024-06-17,2024-06-26,1903,923,44.95,25.49,0.5,8.554,0.03
"301565.SZ","301565","中仑新材",2024-06-11,2024-06-20,6001,2340,11.88,23.63,1.1,7.129,0.04
"688692.SH","787692","达梦数据",2024-05-31,2024-06-12,1900,608,86.96,24.09,0.45,16.522,0.04
"300784.SZ","300784","利安科技",2024-05-28,2024-06-07,1406,1406,28.3,22.4,1.4,3.979,0.02
"301392.SZ","301392","汇成真空",2024-05-24,2024-06-05,2500,1088,12.2,16.31,0.6,3.05,0.03
"920002.BJ","920002","万达轴承",2024-05-21,2024-05-30,575,400,20.74,14.33,23.75,1.193,0.07
"301596.SZ","301596","瑞迪智驱",2024-04-29,2024-05-13,1378,1378,25.92,15.65,1.35,3.572,0.02
"688530.SH","787530","欧莱新材",2024-04-25,2024-05-09,4001,1280,9.6,41.44,0.95,3.841,0.05
"301539.SZ","301539","宏鑫科技",2024-04-01,2024-04-15,3700,1795,10.64,25,1.05,3.937,0.02
"688691.SH","787691","灿芯股份",2024-03-29,2024-04-11,3000,1020,19.86,23.14,0.75,5.958,0.04
"872931.BJ","889900","无锡鼎邦",2024-03-27,2024-04-08,2875,2000,6.2,14.58,118.75,1.782,0.08
"301587.SZ","301587","中瑞股份",2024-03-25,2024-04-08,3683,1495,21.73,18.79,0.85,8.004,0.03
"001389.SZ","001389","广合科技",2024-03-22,2024-04-02,4230,2665,17.43,26.28,1.1,7.373,0.04
"837023.BJ","889288","芭薇股份",2024-03-20,2024-03-29,920,640,5.77,14.2,38,0.531,0.04
"301536.SZ","301536","星宸科技",2024-03-18,2024-03-28,4211,1474,16.16,15.34,0.7,6.805,0.03
"001359.SZ","001359","平安电工",2024-03-15,2024-03-28,4638,3710,17.39,25.88,1.85,8.065,0.04
"835438.BJ","889438","戈碧迦",2024-03-13,2024-03-25,2300,1600,10,11.28,95,2.3,0.11
"603344.SH","732344","星德胜",2024-03-11,2024-03-20,4863,3891,19.18,20.44,1.9,9.328,0.05
"301538.SZ","301538","骏鼎达",2024-03-11,2024-03-20,1000,485,55.82,20.26,0.25,5.582,0.02
"301588.SZ","301588","美新科技",2024-03-04,2024-03-13,2972,1189,14.5,20.9,0.7,4.309,0.02
"688695.SH","787695","中创股份",2024-03-04,2024-03-13,2126,765,22.43,49.01,0.55,4.769,0.04
"873706.BJ","889706","铁拓机械",2024-02-28,2024-03-08,2561,1781,6.69,16.6,105.76,1.713,0.11
"603341.SH","732341","龙旗科技",2024-02-21,2024-03-01,6000,3360,26,24.13,1.4,15.6,0.05
